證券代號,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
0050,2878357,3097,343128324,119.1,119.6,118.6,118.95,0.15,118.95,34,119.0,36,0.0
0051,78985,30,3395533,43.06,43.07,42.81,42.83,0.06,42.83,37,43.0,2,0.0
0052,1216995,524,129652996,107.0,107.3,106.05,106.5,0.35,106.5,9,106.65,1,0.0
0053,17287,14,970672,56.35,56.5,55.85,55.85,0.2,55.85,76,56.2,1,0.0
0054,16000,6,441810,27.75,27.75,27.57,27.57,0.02,27.57,58,27.75,2,0.0
0055,25370,24,448727,17.65,17.71,17.65,17.69,0.01,17.69,5,17.7,27,0.0
0056,13691719,4629,404046382,29.51,29.58,29.48,29.51,0.03,29.51,51,29.52,71,0.0
0057,21000,3,1649850,78.85,78.85,78.55,78.55,0.3,78.2,10,78.6,10,0.0
0061,254155,76,5829487,22.99,23.01,22.83,22.98,0.11,22.98,21,23.0,20,0.0
006203,4000,3,221400,55.4,55.4,55.3,55.3,0.2,55.25,35,55.4,1,0.0
006204,108,2,7482,,,,,0.0,71.4,10,71.65,10,0.0
006205,1472186,140,54819093,37.03,37.37,36.91,37.37,0.33,37.32,101,37.37,42,0.0
006206,519594,77,19693753,37.96,38.07,37.7,38.03,0.15,38.03,90,38.07,1,0.0
006207,136000,31,4081430,30.0,30.1,29.85,30.1,0.25,30.1,4,30.14,35,0.0
006208,1146424,543,76671630,66.85,67.15,66.7,66.8,0.15,66.75,35,66.8,2,0.0
00625K,54000,4,469220,8.68,8.69,8.68,8.69,0.04,8.56,5,8.78,2,0.0
00631L,2726030,974,233532976,85.55,86.25,84.8,85.3,0.55,85.3,266,85.35,22,0.0
00632R,82577841,8132,592457879,7.17,7.22,7.15,7.18,0.03,7.18,12349,7.19,1401,0.0
00633L,6031000,1276,397690900,65.75,66.5,65.3,66.45,0.6,66.4,2,66.45,99,0.0
00634R,696000,44,2887340,4.15,4.17,4.13,4.13,0.01,4.12,317,4.13,2,0.0
00635U,427414,133,10885976,25.49,25.51,25.46,25.47,0.02,25.46,102,25.47,2,0.0
00636,362193,133,9588317,26.47,26.54,26.32,26.52,0.14,26.51,53,26.52,28,0.0
00636K,100,1,940,9.4,9.4,9.4,9.4,0.02,9.35,15,9.46,15,0.0
00637L,41725661,5249,1077030416,25.82,26.02,25.57,26.0,0.23,25.99,40,26.0,1535,0.0
00638R,1747000,109,14469250,8.26,8.31,8.24,8.25,0.04,8.24,118,8.25,21,0.0
00639,1406555,262,22523440,16.0,16.08,15.9,16.08,0.09,16.07,22,16.08,1,0.0
00640L,529000,16,12610950,23.8,23.84,23.8,23.84,0.1,23.82,106,23.85,1,0.0
00641R,220000,15,2641210,11.99,12.01,11.99,11.99,0.04,11.99,102,12.0,100,0.0
00642U,7877190,1454,65184173,8.34,8.34,8.26,8.26,0.07,8.25,722,8.26,50,0.0
00643,644704,169,11661248,17.99,18.15,17.95,18.11,0.06,18.11,60,18.12,4,0.0
00643K,0,0,0,,,,,0.0,4.14,2,4.26,1,0.0
00645,308704,11,7164971,23.22,23.22,23.2,23.2,0.04,23.2,53,23.25,51,0.0
00646,239865,117,7631977,31.86,31.86,31.8,31.8,0.02,31.79,1,31.83,9,0.0
00647L,3000,3,146440,49.0,49.0,48.69,48.69,0.03,48.8,50,48.93,1,0.0
00648R,345000,45,2925800,8.52,8.52,8.47,8.48,0.04,8.48,14,8.5,2,0.0
00650L,85000,31,2196500,25.91,25.91,25.75,25.85,0.06,25.85,1,25.89,18,0.0
00651R,147000,17,1134460,7.72,7.74,7.71,7.72,0.0,7.72,34,7.73,2,0.0
00652,63901,57,1501803,23.52,23.57,23.45,23.47,0.11,23.47,7,23.48,12,0.0
00653L,715300,216,22706260,31.88,31.88,31.68,31.7,0.2,31.68,1,31.71,15,0.0
00654R,37000,25,392870,10.61,10.64,10.6,10.63,0.01,10.6,1,10.65,2,0.0
00655L,2110000,739,104168920,49.4,49.86,48.95,49.79,0.33,49.76,321,49.79,1,0.0
00656R,193000,28,1471750,7.63,7.66,7.57,7.58,0.05,7.58,3,7.6,440,0.0
00657,100000,2,3280000,32.8,32.8,32.8,32.8,0.03,32.81,10,32.85,30,0.0
00657K,100,1,1166,11.66,11.66,11.66,11.66,0.01,11.6,19,11.72,18,0.0
00660,173921,36,4373027,25.07,25.2,25.07,25.2,0.2,25.14,5,25.24,20,0.0
00661,7001,4,231213,33.02,33.04,33.02,33.04,0.02,33.03,25,33.15,16,0.0
00662,52511,66,2403588,45.7,45.8,45.7,45.77,0.0,45.77,1,45.8,4,0.0
00663L,24049,18,1845648,76.7,77.2,76.3,76.4,0.5,76.5,4,76.6,641,0.0
00664R,3410000,399,27765470,8.14,8.19,8.12,8.15,0.03,8.15,1820,8.16,8,0.0
00665L,500000,49,11625300,23.18,23.4,23.05,23.3,0.01,23.28,100,23.3,18,0.0
00666R,0,0,0,,,,,0.0,11.8,3,12.0,9,0.0
00668,22029,15,673688,30.65,30.65,30.3,30.65,0.08,30.61,10,30.65,2,0.0
00668K,100,1,1087,10.87,10.87,10.87,10.87,0.0,,0,,0,0.0
00669R,1157000,254,10822290,9.36,9.38,9.34,9.34,0.05,9.34,144,9.35,100,0.0
00670L,101062,73,8076203,80.0,80.05,79.8,80.0,0.4,79.95,3,80.0,3,0.0
00671R,1055000,138,6918500,6.56,6.57,6.55,6.55,0.02,6.55,103,6.56,8,0.0
00673R,62300,30,1536114,24.6,24.7,24.6,24.67,0.04,24.66,32,24.67,6,0.0
00674R,51000,15,654040,12.79,12.83,12.79,12.83,0.03,12.84,11,12.9,2,0.0
00675L,240539,182,7927946,32.9,33.17,32.62,32.85,0.27,32.85,18,32.87,349,0.0
00676R,4604000,354,20397440,4.43,4.46,4.42,4.44,0.02,4.44,16,4.45,3645,0.0
00677U,106016176,5845,418127407,3.93,3.98,3.92,3.95,0.03,3.95,2214,3.96,671,0.0
00678,60239,55,1698603,28.35,28.43,28.15,28.16,0.27,28.15,5,28.18,5,0.0
00680L,38000,19,1095350,28.85,28.85,28.82,28.82,0.19,28.82,36,28.85,1,0.0
00681R,0,0,0,,,,,0.0,12.68,100,12.75,100,0.0
00682U,18000,11,322160,17.86,17.9,17.86,17.9,0.07,17.9,4,18.0,2,0.0
00683L,123000,43,2021220,16.57,16.57,16.34,16.44,0.06,16.44,1,16.53,7,0.0
00684R,0,0,0,,,,,0.0,19.16,20,19.33,2,0.0
00685L,33000,18,952490,28.79,29.06,28.61,28.67,0.17,28.67,10,28.78,50,0.0
00686R,125000,23,603280,4.84,4.85,4.82,4.85,0.02,4.84,200,4.85,205,0.0
00688L,105000,7,3050110,29.07,29.07,29.01,29.01,0.21,29.01,9,29.1,11,0.0
00689R,100000,2,1309000,13.09,13.09,13.09,13.09,0.07,13.07,30,13.11,40,0.0
00690,43152,24,1195823,27.72,27.77,27.6,27.64,0.09,27.61,1,27.67,30,0.0
00692,1688580,764,49889246,29.54,29.7,29.45,29.55,0.07,29.53,5,29.55,10,0.0
00693U,1415371,502,27409210,19.4,19.4,19.32,19.38,0.04,19.37,204,19.38,43,0.0
00700,10000,6,186480,18.7,18.7,18.56,18.6,0.15,18.6,1,18.66,1,0.0
00701,1109158,450,23918364,21.56,21.6,21.53,21.57,0.07,21.56,1,21.57,3,0.0
00702,0,0,0,,,,,0.0,17.21,5,17.29,5,0.0
00703,7039,7,173048,24.59,24.59,24.57,24.59,0.02,24.37,1,24.59,37,0.0
00706L,0,0,0,,,,,0.0,18.1,3,18.14,26,0.0
00707R,1000,1,18550,18.55,18.55,18.55,18.55,0.0,18.55,24,18.72,23,0.0
00708L,392020,155,11701316,29.84,29.86,29.84,29.84,0.0,29.84,365,29.85,11,0.0
00709,113000,11,2389040,21.06,21.15,21.06,21.15,0.07,21.12,1,21.22,1,0.0
00710B,1052100,57,19376049,18.4,18.45,18.4,18.42,0.02,18.42,1,18.43,104,0.0
00711B,112000,4,2455600,21.88,21.93,21.88,21.93,0.07,21.91,5,21.96,30,0.0
00712,654905,337,8290823,12.69,12.69,12.64,12.65,0.06,12.65,22,12.66,31,0.0
00713,148438,83,5097776,34.28,34.4,34.26,34.34,0.16,34.34,7,34.35,12,0.0
00714,7000,3,130080,18.62,18.62,18.47,18.47,0.18,18.37,10,18.47,5,0.0
00715L,47120249,2227,215512292,4.55,4.6,4.55,4.6,0.03,4.59,2,4.6,140,0.0
00717,700108,99,11774559,16.82,16.83,16.81,16.82,0.02,16.81,100,16.82,1,0.0
00728,230434,22,5802785,25.2,25.21,25.15,25.18,0.11,25.07,12,25.2,22,0.0
00730,484635,186,8705525,17.89,18.03,17.89,17.98,0.09,17.98,6,17.99,6,0.0
00731,1021827,37,49089960,48.0,48.2,47.97,48.05,0.05,48.0,12,48.05,3,0.0
00732,100000,2,3909000,39.09,39.09,39.09,39.09,0.01,38.99,13,39.16,13,0.0
00733,233234,29,6177610,26.43,26.58,26.43,26.51,0.13,26.5,10,26.51,2,0.0
00735,52131,27,1562262,30.0,30.0,29.82,29.82,0.11,29.83,15,29.93,10,0.0
00736,100233,3,2204911,22.0,22.0,22.0,22.0,0.0,21.87,20,22.15,3,0.0
00737,59973,52,1842036,30.7,30.9,30.67,30.7,0.0,30.7,1,30.72,20,0.0
00738U,1631238,358,44157189,27.13,27.2,27.03,27.1,0.03,27.1,19,27.12,14,0.0
00739,177652,71,4786513,26.96,27.12,26.85,27.12,0.1,27.11,50,27.12,7,0.0
00742,149026,37,3223631,21.66,21.66,21.59,21.63,0.08,21.63,3,21.67,6,0.0
00743,62010,9,1720857,27.53,27.78,27.5,27.77,0.13,27.8,20,27.95,20,0.0
00752,2648565,1921,77156728,29.23,29.25,29.05,29.21,0.28,29.21,110,29.23,10,0.0
00753L,361000,228,13129840,36.62,36.7,36.22,36.32,0.7,36.32,1,36.37,3,0.0
00757,565145,293,24379019,43.2,43.2,43.1,43.11,0.36,43.1,13,43.11,5,0.0
00762,122292,48,4314447,35.31,35.31,35.2,35.31,0.1,35.21,3,35.31,6,0.0
00763U,95003,46,2220869,23.32,23.41,23.32,23.38,0.06,23.38,2,23.41,8,0.0
00770,5550,7,178644,32.11,32.11,32.11,32.11,0.03,32.1,1,32.33,1,0.0
00771,15401,10,294472,19.12,19.13,19.12,19.13,0.05,19.13,1,19.17,4,0.0
00774B,103000,4,3973650,38.58,38.58,38.55,38.55,0.03,38.07,10,38.6,2,0.0
00774C,0,0,0,,,,,0.0,8.89,5,8.99,5,0.0
00775B,302085,6,13488223,44.65,44.77,44.65,44.77,0.12,44.45,101,45.2,2,0.0
00783,827758,25,17624339,21.19,21.31,21.19,21.31,0.12,21.33,20,21.34,27,0.0
008201,16,1,1968,,,,,0.0,117.3,1,122.7,1,0.0
00830,516319,151,12735874,24.75,24.75,24.62,24.67,0.13,24.67,1,24.69,9,0.0
00850,1964614,1044,55928392,28.43,28.56,28.34,28.4,0.07,28.4,26,28.41,1,0.0
00851,5999,7,169271,28.2,28.2,28.19,28.2,0.14,28.17,1,28.24,20,0.0
00852L,172000,55,2751600,16.01,16.01,15.96,15.98,0.0,15.97,16,15.98,2,0.0
00861,580461,315,15146453,26.05,26.15,26.05,26.11,0.12,26.1,4,26.11,1,0.0
00865B,205000,5,7584230,37.05,37.05,36.86,36.86,0.19,36.86,9,36.97,1,0.0
00866,26000,2,569400,21.9,21.9,21.9,21.9,0.08,21.64,10,21.9,2,0.0
00875,722365,389,22028304,30.59,30.59,30.45,30.49,0.1,30.49,9,30.5,38,0.0
00876,1173523,512,30168945,25.61,25.74,25.61,25.71,0.16,25.69,34,25.71,29,0.0
00878,6107167,1964,97191972,15.88,15.95,15.88,15.89,0.06,15.89,213,15.9,279,0.0
00881,20290389,6127,303807611,14.93,15.0,14.93,14.97,0.09,14.97,149,14.98,95,0.0
01001T,51000,3,938910,18.41,18.41,18.41,18.41,0.01,18.41,49,18.44,1,0.0
01002T,255000,47,4767150,18.73,18.73,18.69,18.69,0.0,18.68,51,18.69,3,0.0
01003T,251000,24,4919100,19.56,19.62,19.56,19.6,0.0,19.56,1,19.6,72,0.0
01004T,328000,44,5611470,17.14,17.14,17.1,17.1,0.01,17.09,20,17.12,29,0.0
01007T,4000,2,79600,19.9,19.9,19.9,19.9,0.01,19.9,47,19.99,1,0.0
01009T,52000,4,504640,9.72,9.72,9.7,9.7,0.02,9.7,1,9.74,5,0.0
01010T,659000,12,7169930,10.51,10.64,10.5,10.53,0.01,10.52,8,10.54,4,0.0
020000,10000,6,66000,6.61,6.61,6.59,6.59,0.06,6.57,100,6.58,100,0.0
020002,0,0,0,,,,,0.0,19.58,499,19.6,355,0.0
020004,0,0,0,,,,,0.0,28.73,499,28.74,499,0.0
020006,0,0,0,,,,,0.0,26.31,105,26.32,103,0.0
020007,0,0,0,,,,,0.0,27.6,241,27.68,214,0.0
020008,28000,2,314950,11.25,11.25,11.24,11.24,0.0,11.24,200,11.25,200,0.0
020011,10000,4,52380,5.24,5.31,5.21,5.22,0.01,5.21,493,5.22,499,0.0
020012,144000,12,864000,6.0,6.01,5.99,5.99,0.01,5.98,100,6.0,131,0.0
020015,0,0,0,,,,,0.0,13.36,491,13.46,495,0.0
020016,0,0,0,,,,,0.0,17.19,491,17.29,493,0.0
020018,1537000,15,18424750,12.03,12.06,11.98,12.0,0.08,12.02,490,12.04,493,0.0
020019,121000,36,1407240,11.62,11.67,11.57,11.6,0.03,11.59,492,11.6,4,0.0
02001L,0,0,0,,,,,0.0,9.5,100,9.51,100,0.0
02001R,0,0,0,,,,,0.0,3.44,100,3.46,100,0.0
020020,1255000,129,7096330,5.65,5.67,5.63,5.64,0.02,5.64,500,5.65,505,0.0
020022,1568000,194,7927100,5.03,5.08,5.03,5.06,0.06,5.05,546,5.06,497,0.0
1101,9499247,4104,406635677,42.8,43.0,42.7,42.8,0.1,42.75,102,42.8,339,10.19
1101B,53000,4,2835600,53.5,53.6,53.5,53.6,0.0,53.5,1,53.6,8,0.0
1102,3124230,1242,133372273,42.35,42.85,42.35,42.7,0.4,42.7,4,42.75,67,10.0
1103,697345,267,13029022,18.75,18.8,18.6,18.7,0.05,18.65,16,18.7,24,35.28
1104,326388,191,7461773,22.7,22.95,22.7,22.9,0.15,22.85,19,22.9,1,11.45
1108,5561981,1464,69323173,12.4,12.7,12.1,12.7,0.45,12.7,23,12.75,183,13.8
1109,248954,104,4973929,20.0,20.05,19.9,19.95,0.0,19.95,8,20.0,20,7.47
1110,92027,57,1625672,17.9,17.95,17.55,17.65,0.05,17.6,7,17.65,18,0.0
1201,1273987,589,27940586,22.1,22.1,21.85,21.95,0.0,21.9,30,21.95,8,29.27
1203,15572,40,559466,35.85,36.05,35.85,36.05,0.2,35.95,18,36.05,5,18.49
1210,7905016,4391,380202012,47.5,48.6,47.35,48.1,1.3,48.1,47,48.15,48,13.59
1213,6353,4,49492,7.8,7.8,7.8,7.8,0.0,7.7,1,7.97,1,0.0
1215,1001955,877,71059147,71.0,71.4,70.5,70.7,0.2,70.6,33,70.7,28,10.74
1216,3853970,2079,256033141,66.5,66.8,66.1,66.3,0.3,66.3,703,66.4,83,18.11
1217,12558663,3589,122569575,9.75,10.05,9.55,9.71,0.07,9.7,44,9.71,34,23.68
1218,1576589,767,42391888,26.8,27.4,26.65,26.65,0.0,26.65,56,26.8,3,16.87
1219,1702212,738,37218625,21.9,22.05,21.75,21.9,0.0,21.85,27,21.95,40,11.65
1220,370243,124,4662096,12.7,12.7,12.5,12.7,0.0,12.65,5,12.7,38,13.23
1225,330248,288,12378258,38.6,38.6,36.55,36.65,0.95,36.65,7,36.75,1,24.76
1227,833500,659,50622680,60.5,60.9,60.5,60.7,0.3,60.7,28,60.8,30,15.68
1229,1145064,889,47393573,41.4,41.5,41.3,41.45,0.2,41.4,9,41.45,26,19.64
1231,119968,129,5422970,45.15,45.25,45.15,45.2,0.1,45.2,5,45.25,13,12.73
1232,89351,111,11375581,125.5,128.5,125.5,128.5,2.5,127.0,7,128.5,9,18.7
1233,34244,30,1231444,35.9,36.1,35.9,36.1,0.2,36.0,2,36.1,2,47.5
1234,111237,81,3670544,33.0,33.05,32.95,33.0,0.0,32.95,40,33.0,6,15.07
1235,9040,11,221671,24.5,24.85,24.45,24.45,0.0,24.45,9,24.55,1,31.35
1236,26228,81,370774,14.1,14.25,14.05,14.05,0.05,14.0,7,14.1,5,46.83
1256,6474,64,1919351,296.5,296.5,295.5,295.5,1.0,295.5,4,296.5,1,14.23
1301,4338064,1999,403034055,92.5,93.1,92.5,92.8,0.2,92.7,25,92.8,95,47.35
1303,3134360,1717,217944650,69.2,69.9,69.1,69.4,0.2,69.4,75,69.5,27,31.12
1304,15506586,6500,339737677,22.15,22.35,21.6,21.9,0.0,21.9,131,21.95,103,16.85
1305,6687981,2515,163807787,24.6,25.0,24.15,24.5,0.05,24.5,82,24.55,69,15.91
1307,213786,150,4889698,22.9,23.05,22.65,22.7,0.0,22.65,5,22.7,1,42.83
1308,6150103,2738,131027119,21.6,21.6,21.1,21.2,0.1,21.2,32,21.25,308,14.83
1309,27646278,11887,985891281,34.85,36.9,34.7,36.35,1.2,36.35,124,36.4,23,10.33
1310,4699105,1900,90198887,19.35,19.5,19.05,19.1,0.25,19.1,77,19.15,10,0.0
1312,7541490,2602,171752471,22.85,23.0,22.6,22.75,0.1,22.75,56,22.8,22,8.65
1312A,0,0,0,,,,,0.0,30.45,1,30.95,11,0.0
1313,10283397,3626,189742375,18.35,18.8,18.1,18.7,0.45,18.65,28,18.7,137,30.66
1314,266038297,47053,3087720397,11.6,11.95,11.2,11.55,0.15,11.5,1628,11.55,342,57.75
1315,167499,126,11750698,70.4,70.4,70.0,70.2,0.2,70.1,19,70.4,5,1.76
1316,535637,196,6549485,12.45,12.45,12.1,12.15,0.0,12.15,4,12.2,24,0.0
1319,831609,418,31570000,38.1,38.4,37.55,37.95,0.1,37.9,8,37.95,45,19.77
1321,261041,162,9325072,35.6,35.85,35.5,35.8,0.4,35.8,3,35.85,3,13.88
1323,43122,37,1419962,32.85,33.0,32.85,33.0,0.15,32.9,1,33.0,25,10.19
1324,177195,89,1867665,10.7,10.75,10.4,10.5,0.05,10.45,4,10.5,4,47.73
1325,4186022,3028,385899810,93.3,93.7,91.2,91.2,2.8,91.2,6,91.3,1,5.43
1326,3008961,1698,238626107,79.3,79.6,79.0,79.6,0.5,79.5,13,79.6,36,37.37
1337,3450964,1218,31666413,9.34,9.34,9.04,9.09,0.1,9.09,35,9.1,140,0.0
1338,253223,206,14482663,57.2,57.7,56.8,56.8,0.4,56.8,8,57.2,23,20.07
1339,144169,103,5905052,41.05,41.2,40.8,41.15,0.1,40.75,4,41.15,13,27.07
1340,232983,201,2900991,12.4,12.6,12.35,12.4,0.0,12.4,1,12.45,13,0.0
1341,1100,3,64400,58.5,58.5,58.5,58.5,0.5,58.3,11,59.0,3,10.62
1342,320473,255,19458524,60.0,61.9,59.9,60.2,1.7,60.1,3,60.4,3,20.48
1402,8792251,3948,250245960,28.25,28.7,28.2,28.55,0.5,28.55,19,28.6,475,17.1
1409,99321846,18359,1433525518,14.4,14.85,14.0,14.35,0.3,14.3,86,14.35,297,9.5
1410,3005,5,101811,33.75,34.25,33.75,34.25,0.4,33.75,1,33.95,1,40.29
1413,530798,243,4892328,9.32,9.4,9.05,9.06,0.36,9.05,16,9.1,1,0.0
1414,2597192,1129,38783705,14.7,15.3,14.65,14.9,0.2,14.8,33,14.9,25,33.86
1416,174687,163,2066863,11.95,11.95,11.75,11.75,0.1,11.75,2,11.8,78,0.0
1417,2140615,819,24346942,11.5,11.6,11.25,11.3,0.2,11.3,14,11.4,14,40.36
1418,6263,10,44708,7.19,7.19,7.13,7.13,0.0,7.13,4,7.49,2,0.0
1419,18083,19,770288,42.3,42.85,42.3,42.45,0.0,42.35,1,42.55,16,38.94
1423,328041,144,5277894,16.1,16.35,15.95,15.95,0.05,15.9,21,15.95,4,0.0
1432,310620,172,4483410,14.5,14.65,14.3,14.3,0.15,14.3,18,14.35,3,0.0
1434,2218311,1121,68236439,30.65,30.9,30.55,30.8,0.25,30.8,79,30.85,201,13.94
1435,732976,474,20099594,28.5,28.5,26.55,26.9,1.6,26.7,4,26.9,2,0.0
1436,36228,29,1379636,37.8,38.25,37.8,38.1,0.05,38.1,2,38.15,11,8.3
1437,276605,80,6640429,23.95,24.1,23.95,24.0,0.05,23.95,2,24.0,9,16.55
1438,40000,22,487500,12.6,12.6,12.05,12.05,0.05,12.1,7,12.2,8,25.64
1439,111764,78,3152811,28.3,28.35,28.05,28.25,0.2,28.25,9,28.3,21,64.2
1440,16832671,4272,263794626,15.8,16.0,15.35,15.45,0.05,15.45,51,15.5,109,90.88
1441,527757,237,4467316,8.43,8.58,8.41,8.46,0.11,8.46,3,8.48,8,0.0
1442,133298,72,2340579,17.55,17.6,17.5,17.6,0.05,17.55,12,17.6,6,125.71
1443,47999,35,560594,11.85,11.85,11.6,11.7,0.1,11.6,8,11.7,10,0.0
1444,69814888,16639,949696876,13.5,13.95,13.3,13.4,0.1,13.35,818,13.4,133,0.0
1445,594496,184,7208498,12.5,12.5,11.9,12.0,0.1,11.95,15,12.05,15,0.0
1446,59292,42,1809712,30.8,30.8,30.35,30.35,0.4,30.35,3,30.45,1,379.38
1447,49384879,11420,461592377,9.11,9.64,9.1,9.29,0.24,9.28,119,9.29,185,0.0
1449,590129,364,18011041,30.85,31.3,29.95,30.1,0.7,30.1,5,30.15,14,0.0
1451,180939,153,3101012,17.2,17.2,17.1,17.15,0.05,17.15,13,17.2,28,0.0
1452,2409077,1000,43200306,17.85,18.3,17.5,17.55,0.05,17.55,6,17.6,54,32.5
1453,245657,117,2241499,9.17,9.18,9.06,9.06,0.09,9.06,1,9.14,1,0.0
1454,1389954,410,12589590,8.92,9.5,8.88,9.1,0.31,9.0,16,9.1,30,0.0
1455,66768051,12666,794225163,11.6,12.1,11.5,12.1,1.1,12.05,30,12.1,886,0.0
1456,3244397,1417,55147771,17.1,17.1,16.25,17.1,1.55,17.1,237,,0,0.0
1457,19659771,6775,321926233,16.5,16.95,15.65,15.8,0.4,15.8,76,15.85,11,5.6
1459,2578298,863,24253748,9.5,9.6,9.1,9.48,0.38,9.45,3,9.48,8,0.0
1460,3365811,1192,34003621,10.05,10.3,9.93,9.99,0.01,9.99,23,10.0,12,0.0
1463,530516,305,6880814,13.2,13.2,12.85,12.9,0.15,12.9,7,12.95,13,61.43
1464,466961,221,8683191,18.55,18.65,18.5,18.6,0.1,18.6,12,18.65,53,372.0
1465,68303,91,893413,13.1,13.1,13.0,13.05,0.0,13.05,5,13.1,13,0.0
1466,8007995,3289,151462431,18.1,19.5,17.95,18.95,0.9,18.9,28,18.95,13,0.0
1467,1256413,613,24736720,20.2,20.2,19.4,19.5,0.35,19.5,14,19.55,9,0.0
1468,59000,45,891050,15.5,15.5,14.7,15.5,0.0,14.7,1,15.4,3,51.67
1470,34000,15,623450,18.5,18.5,18.0,18.0,0.3,18.0,3,18.15,1,48.65
1471,540300,178,3102636,5.61,5.88,5.61,5.68,0.08,5.67,3,5.68,42,3.32
1472,438002,187,4546993,10.4,10.45,10.0,10.45,0.0,10.4,3,10.45,1,0.0
1473,268660,170,4897878,18.3,18.3,18.2,18.25,0.1,18.25,13,18.3,36,0.0
1474,1357715,606,17781795,13.2,13.25,12.95,12.95,0.1,12.95,5,13.0,12,15.24
1475,17099,20,670816,39.8,39.9,38.05,38.05,0.95,38.05,1,39.45,1,0.0
1476,336634,343,133745317,400.0,400.0,395.0,395.5,2.5,395.0,9,396.5,1,28.58
1477,613944,593,116506230,190.5,190.5,189.0,189.0,1.5,189.0,56,189.5,24,20.84
1503,64332,78,3213372,49.95,50.1,49.8,49.8,0.1,49.8,2,49.9,12,15.47
1504,2402603,1194,66184573,27.5,27.7,27.45,27.6,0.05,27.6,38,27.65,70,15.95
1506,129147,69,1406690,11.0,11.0,10.8,10.8,0.1,10.8,23,10.9,22,0.0
1507,37160,92,2292692,61.6,61.8,61.6,61.7,0.3,61.7,10,61.8,11,21.28
1512,145657,50,583288,4.02,4.02,4.0,4.02,0.01,4.02,7,4.05,6,0.0
1513,8082562,3950,442573503,55.2,55.6,54.0,54.6,0.1,54.5,56,54.6,57,26.9
1514,544805,333,14326702,26.5,26.65,26.1,26.2,0.1,26.2,4,26.25,8,16.58
1515,658250,439,48350114,74.5,74.5,72.9,73.2,0.3,73.2,12,73.4,1,20.28
1516,872226,489,22342205,24.95,26.35,24.6,25.15,0.6,25.15,1,25.2,2,30.67
1517,1108571,487,15513292,14.1,14.2,13.9,13.95,0.1,13.95,13,14.0,36,93.0
1519,1195678,776,59821073,50.5,50.8,49.5,49.8,0.4,49.8,58,49.85,19,26.07
1521,21000,20,1162600,55.1,55.6,55.1,55.6,0.5,55.5,1,55.6,1,28.37
1522,536810,319,11663962,21.5,21.9,21.45,21.75,0.4,21.7,21,21.75,11,26.85
1524,194574,108,1891314,9.76,9.76,9.7,9.72,0.02,9.71,1,9.72,4,24.3
1525,99000,87,6427300,64.6,65.7,64.3,65.2,1.4,65.2,1,65.3,7,16.38
1526,631009,414,28902780,46.3,46.8,45.35,45.5,0.6,45.5,28,45.55,3,15.74
1527,149175,141,6200358,41.8,41.8,41.4,41.45,0.1,41.4,6,41.45,5,25.75
1528,2278987,838,21816209,9.42,9.89,9.3,9.76,0.4,9.75,17,9.76,3,0.0
1529,136131,64,2273761,16.75,16.9,16.5,16.55,0.2,16.55,7,16.65,7,17.99
1530,25805,63,795193,30.7,30.85,30.7,30.8,0.1,30.8,1,30.85,6,8.63
1531,208325,122,2761717,13.45,13.55,13.1,13.25,0.0,13.2,64,13.25,1,0.0
1532,390671,169,12260589,31.25,31.7,31.15,31.5,0.25,31.45,1,31.5,26,50.0
1533,515545,302,17861744,35.2,35.2,33.85,34.2,0.1,34.2,2,34.25,2,57.97
1535,36000,22,1206050,33.45,33.55,33.4,33.5,0.05,33.5,12,33.6,3,24.45
1536,1843130,1293,192070708,105.0,106.0,103.0,103.5,1.0,103.5,49,104.0,20,105.61
1537,35321,34,4983433,141.0,141.5,140.5,141.0,0.5,141.0,5,141.5,15,13.0
1538,32495,27,246485,7.61,7.81,7.55,7.6,0.2,7.6,11,7.7,1,0.0
1539,62000,35,1223700,20.1,20.1,19.55,19.7,0.15,19.7,1,19.8,8,0.0
1540,77257,51,1177910,15.2,15.4,15.1,15.1,0.1,15.1,18,15.2,4,0.0
1541,47332,34,2574392,54.3,54.6,54.3,54.3,0.1,54.2,3,54.4,7,11.17
1558,43110,40,6017449,139.5,140.0,139.0,139.0,0.5,139.0,20,140.0,12,11.47
1560,1751934,1075,116598269,66.2,66.9,66.0,66.0,0.0,66.0,23,66.1,9,16.75
1568,384728,233,8117534,21.7,21.7,20.9,21.1,0.2,21.05,1,21.1,5,301.43
1582,289761,258,24789445,85.6,85.7,85.3,85.3,0.5,85.3,5,85.4,9,10.61
1583,3145,8,192748,61.4,61.4,61.1,61.1,0.5,61.0,3,61.4,2,15.31
1587,209701,142,5343394,25.35,25.65,25.35,25.55,0.25,25.55,2,25.6,18,12.11
1589,530017,398,43163679,82.8,82.8,80.7,80.8,1.3,80.7,26,80.9,1,18.7
1590,109873,131,96560599,888.0,888.0,872.0,874.0,4.0,874.0,2,878.0,2,40.37
1592,401000,171,3547140,8.72,8.99,8.69,8.96,0.27,8.96,4,8.97,2,0.0
1597,232985,220,20371608,88.0,88.5,86.7,87.3,0.2,87.3,2,87.5,3,37.31
1598,1379086,769,162454587,118.0,119.5,116.5,117.0,2.0,117.0,10,117.5,14,21.01
1603,8903,13,251666,28.35,28.45,28.2,28.45,0.2,28.2,6,28.45,6,11.43
